"text","intent","response","entities"
"hi","greet","👋 Hello! How can I help you today?",""
"hello","greet","👋 Hi there! Ask me about your balance, transactions, or loans.",""
"hey","greet","👋 Hey! What can I do for you?",""
"good morning","greet","Good morning! How can I assist?",""
"bye","goodbye","👋 Goodbye! Have a great day.",""
"goodbye","goodbye","👋 See you next time.",""
"see you","goodbye","👋 See you later!",""
"thank you","thanks","You're welcome! Is there anything else I can help with?",""
"thanks","thanks","Happy to help! Let me know if you need anything else.",""
"other","out_of_scope","I can only assist with banking questions.",""

"what is my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"check balance","check_balance","💰 Of course. What is your account number?",""
"show my account balance","check_balance","💰 I'd be happy to check your balance. What is your account number?",""
"can you tell me my balance","check_balance","💰 I can certainly help with that. What is your account number?",""
"account balance","check_balance","💰 I can help with your account balance. Please provide your account number.",""
"check my balance","check_balance","💰 Sure! What's your account number so I can verify?",""
"show me my balance","check_balance","💰 I'd be happy to check your balance. Could you provide your account number?",""
"i want to check my balance","check_balance","💰 I can help with that. First, please provide your account number for verification.",""
"tell me my balance","check_balance","💰 Sure! May I have your account number to verify?",""
"what's my balance","check_balance","💰 5000.",""
"balance inquiry","check_balance","💰 To check your balance, please provide your account number.",""
"how much money do i have","check_balance","💰 I can help with that. Please give me your account number.",""
"my account number is 949254126359","check_balance","","ACCOUNT_NUMBER:949254126359"
"it's 949254126359","check_balance","💰 Your balance is 5000.","MONEY:5000|ACCOUNT_NUMBER:949254126359"

"last transactions","transaction_inquiry","For a detailed statement, please click the 'Transactions' card on your dashboard.",""
"show transaction history","transaction_inquiry","You can see your full transaction history on the 'Transactions' page.",""

"transfer","transfer_money","💸 OK, let's send some money. Who should I send it to?",""
"send money","transfer_money","💸 Happy to help with that. What is the name of the recipient?",""
"i need to send money","transfer_money","💸 I can help with that. To whom would you like to send money?",""
"make a payment","transfer_money","💸 OK. Who is the payment for?",""
"send 500 rupees to Teja","transfer_money","","PERSON:Teja|MONEY:500"
"transfer 1000 to Sri","transfer_money","","PERSON:Sri|MONEY:1000"
"transfer 2000 to John","transfer_money","","PERSON:John|MONEY:2000"
"send 1500 to Priya","transfer_money","","PERSON:Priya|MONEY:1500"
"i want to send 2500 to Ravi","transfer_money","","PERSON:Ravi|MONEY:2500"
"please transfer 3000 to Sita","transfer_money","","PERSON:Sita|MONEY:3000"
"account number 123456789012","transaction","How much would you like to send?","ACCOUNT_NUMBER:123456789012"
"account number 222222222222","transaction","How much would you like to send?","ACCOUNT_NUMBER:222222222222"
"account number 333333333333","transaction","How much would you like to send?","ACCOUNT_NUMBER:333333333333"
"account number 949254126359","transaction","How much would you like to send?","ACCOUNT_NUMBER:949254126359"
"it's 949254126359","transaction","How much would you like to send?","ACCOUNT_NUMBER:949254126359"

"branch details","branch_locator","You can find all our branch addresses and timings on the 'Branches' page.",""
"find a branch","branch_locator","Please visit the 'Branches' page on your dashboard to find the one nearest to you.",""

"loan","loan_overview","🏦 We offer Home Loan, Education Loan, and Gold Loan. Which one are you interested in?",""
"loan details","loan_overview","🏦 We currently provide Home Loan, Education Loan, and Gold Loan. Pick one to know the interest and steps.",""
"loan options","loan_overview","🏦 Available loans: Home, Education, Gold. Tell me which one you want to explore.",""
"i want a loan","loan_overview","🏦 Sure. We have Home Loan, Education Loan, and Gold Loan. Which would you like?",""
"home loan","loan_home_info","🏠 Our Home Loan starts at 8.2% p.a. with tenure up to 20 years. Do you want me to start an application?","PRODUCT:home loan|INTEREST:8.2%"
